CustomerID,Age,Gender,AnnualIncome,SpendingScore,ProductCategory,ProductPrice,PurchaseDate,StoreID,StoreLocation,PaymentMethod,DiscountApplied,DiscountPercent,ProductCost,Profit,FootTraffic,InventoryLevel,MarketingExpenditure,CompetitorPrice
1,58,Male,60038,41,Health & Beauty,147.43,2022-06-11,46,San Jose,Credit Card,True,26,109.1,38.33000000000001,336,26,9107.9,171.55
2,57,Male,31577,91,Health & Beauty,402.09,2023-06-05,53,Los Angeles,Mobile Payment,True,1,398.07,4.019999999999982,491,32,1746.77,419.19
3,39,Female,117404,26,Groceries,958.45,2020-10-14,95,Philadelphia,Mobile Payment,False,0,958.45,0.0,157,3,2030.49,835.92
4,33,Male,87434,94,Electronics,544.17,2021-08-27,24,Dallas,Credit Card,False,0,544.17,0.0,223,87,6242.68,620.36
5,18,Male,90225,10,Health & Beauty,645.75,2023-06-06,2,San Antonio,Credit Card,False,0,645.75,0.0,315,8,6008.89,600.49
6,27,Female,71051,74,Books,304.15,2022-02-05,93,San Diego,Debit Card,False,0,304.15,0.0,706,71,4022.86,309.4
7,18,Male,116056,77,Health & Beauty,629.44,2023-05-30,83,San Jose,Cash,False,0,629.44,0.0,796,82,9973.9,614.19
8,19,Male,116897,7,Electronics,57.43,2022-12-16,61,Los Angeles,Cash,False,0,57.43,0.0,642,28,1940.6,62.94
9,70,Female,140969,62,Electronics,237.6,2022-02-11,61,San Jose,Credit Card,True,15,201.96,35.639999999999986,225,77,5527.31,240.68
10,27,Female,140161,26,Books,573.09,2021-02-12,69,San Diego,Online Transfer,True,29,406.89,166.20000000000005,590,22,7719.62,531.0
11,23,Male,84415,45,Health & Beauty,738.67,2021-04-13,81,San Jose,Debit Card,True,11,657.42,81.25,375,38,4167.45,672.17
12,32,Female,126348,47,Books,320.18,2020-07-26,62,Philadelphia,Debit Card,False,0,320.18,0.0,915,33,1019.79,290.43
13,55,Male,100528,65,Home & Kitchen,536.86,2020-10-31,98,Phoenix,Mobile Payment,False,0,536.86,0.0,590,67,1289.48,487.57
14,57,Male,38744,24,Health & Beauty,837.39,2023-02-12,16,Philadelphia,Online Transfer,True,12,736.9,100.49,61,46,8545.09,844.74
15,38,Male,52343,43,Electronics,870.01,2020-10-21,21,San Diego,Cash,False,0,870.01,0.0,460,2,2952.96,1027.24
16,31,Male,37183,21,Books,580.08,2022-09-20,56,Philadelphia,Debit Card,True,30,406.06,174.02000000000004,235,50,613.76,673.16
17,27,Female,136739,13,Health & Beauty,434.31,2021-04-13,88,San Antonio,Credit Card,False,0,434.31,0.0,836,41,2552.77,362.41
18,18,Male,95791,20,Home & Kitchen,46.38,2021-10-26,98,Dallas,Cash,False,0,46.38,0.0,834,57,5840.21,49.84
19,28,Male,48190,47,Clothing,798.74,2022-12-02,10,Chicago,Mobile Payment,True,12,702.89,95.85000000000002,968,7,458.71,937.84
20,55,Male,23490,41,Health & Beauty,991.35,2021-09-25,93,Houston,Online Transfer,False,0,991.35,0.0,917,96,4036.84,1029.38
21,30,Male,35647,93,Health & Beauty,728.66,2022-01-25,73,Philadelphia,Debit Card,True,3,706.8,21.860000000000014,763,38,9428.49,784.48
22,45,Female,70243,58,Groceries,830.95,2022-02-19,17,Dallas,Mobile Payment,False,0,830.95,0.0,902,68,3724.37,762.46
23,47,Male,91865,8,Groceries,107.33,2021-07-02,54,San Diego,Cash,True,14,92.3,15.03,379,66,984.96,104.73
24,30,Female,41065,48,Clothing,63.61,2023-04-28,32,Philadelphia,Mobile Payment,False,0,63.61,0.0,380,3,7807.66,59.44
25,67,Female,42708,32,Home & Kitchen,321.59,2021-03-31,66,San Diego,Cash,False,0,321.59,0.0,374,61,9572.98,275.44
26,21,Female,110548,14,Home & Kitchen,430.07,2021-11-24,31,Dallas,Online Transfer,True,20,344.06,86.00999999999999,685,21,8377.64,488.99
27,19,Female,146371,26,Electronics,401.87,2023-05-05,86,Chicago,Cash,False,0,401.87,0.0,895,56,2083.24,410.26
28,69,Male,144077,20,Electronics,658.37,2023-05-02,44,Phoenix,Online Transfer,True,25,493.78,164.59000000000003,424,100,3254.38,616.44
29,52,Female,116001,74,Home & Kitchen,291.67,2020-08-17,25,New York,Mobile Payment,True,24,221.67,70.00000000000003,704,46,628.74,289.95
30,40,Female,33217,96,Clothing,949.31,2022-08-31,23,San Jose,Debit Card,True,2,930.32,18.989999999999892,299,54,9765.02,990.06
31,67,Male,25152,28,Clothing,815.46,2022-06-10,84,Dallas,Credit Card,True,6,766.53,48.930000000000064,272,16,676.49,662.83
32,41,Male,69539,8,Groceries,801.69,2023-03-11,59,Philadelphia,Debit Card,True,30,561.18,240.5100000000001,942,7,2559.87,725.1
33,57,Female,74392,47,Health & Beauty,700.58,2022-06-23,92,Los Angeles,Credit Card,False,0,700.58,0.0,296,81,9181.74,804.58
34,63,Male,50488,68,Electronics,506.22,2021-11-22,61,Phoenix,Online Transfer,True,29,359.42,146.8,141,67,2166.04,523.47
35,58,Female,53914,26,Electronics,779.79,2021-08-09,23,Chicago,Debit Card,False,0,779.79,0.0,533,49,9829.61,904.94
36,31,Male,41924,1,Groceries,540.73,2021-01-27,23,San Antonio,Credit Card,False,0,540.73,0.0,632,68,2120.2,484.33
37,59,Male,72435,80,Groceries,423.51,2022-02-09,96,Houston,Debit Card,False,0,423.51,0.0,682,4,6706.25,395.63
38,56,Female,88162,60,Electronics,225.04,2023-01-15,29,San Jose,Mobile Payment,True,3,218.29,6.75,410,95,6426.78,202.52
39,63,Male,72763,75,Home & Kitchen,583.0,2022-11-09,76,Los Angeles,Debit Card,True,5,553.85,29.149999999999977,204,35,4790.53,541.02
40,18,Male,97580,97,Groceries,863.37,2023-02-10,12,Los Angeles,Mobile Payment,True,26,638.89,224.48,185,87,7599.36,1027.01
41,49,Female,22538,80,Home & Kitchen,838.76,2021-08-09,13,San Jose,Cash,True,26,620.68,218.08000000000004,150,25,4858.69,785.91
42,52,Male,121613,19,Health & Beauty,649.02,2022-09-10,21,Dallas,Cash,True,9,590.61,58.40999999999997,300,17,1987.57,587.1
43,39,Female,107301,15,Clothing,407.66,2022-07-05,13,San Jose,Credit Card,True,2,399.51,8.150000000000034,479,50,6166.51,330.45
44,19,Female,43301,47,Groceries,813.69,2022-08-03,19,Philadelphia,Credit Card,False,0,813.69,0.0,575,25,5299.13,877.9
45,31,Female,119115,32,Electronics,45.04,2021-02-22,98,New York,Debit Card,False,0,45.04,0.0,591,37,924.8,39.36
46,41,Male,103601,56,Groceries,305.68,2022-04-11,26,San Jose,Cash,True,8,281.23,24.44999999999999,172,25,4685.51,360.89
47,41,Male,135906,60,Home & Kitchen,939.19,2020-07-19,90,New York,Debit Card,True,8,864.05,75.1400000000001,895,75,9348.56,1067.53
48,27,Female,133836,53,Health & Beauty,570.44,2021-05-04,42,San Diego,Mobile Payment,True,15,484.87,85.57000000000005,873,34,797.14,465.59
49,41,Female,76397,11,Home & Kitchen,744.69,2023-02-25,36,Phoenix,Mobile Payment,True,20,595.75,148.94000000000003,369,12,1010.62,692.25
50,36,Male,89093,64,Home & Kitchen,85.39,2022-09-01,98,San Jose,Debit Card,True,0,85.39,0.0,786,77,5845.87,83.08
51,64,Male,22119,58,Groceries,25.61,2021-08-22,73,Dallas,Online Transfer,False,0,25.61,0.0,498,37,9256.69,21.89
52,55,Female,27462,4,Home & Kitchen,316.37,2021-09-20,50,Dallas,Mobile Payment,True,14,272.08,44.29000000000002,879,42,9462.19,374.21
53,26,Male,28722,6,Groceries,202.79,2023-02-13,29,San Antonio,Cash,False,0,202.79,0.0,779,45,4147.86,182.19
54,68,Male,32880,61,Clothing,957.63,2023-05-12,53,Dallas,Credit Card,True,7,890.6,67.02999999999997,860,21,1459.7,914.72
55,43,Male,85543,22,Groceries,532.07,2020-07-26,75,Houston,Online Transfer,False,0,532.07,0.0,568,29,946.82,509.8
56,55,Male,86368,55,Health & Beauty,922.24,2021-10-17,23,San Jose,Credit Card,False,0,922.24,0.0,530,29,2744.68,771.39
57,55,Male,114623,91,Books,543.13,2023-04-27,66,New York,Online Transfer,True,28,391.05,152.07999999999998,254,27,6223.26,478.67
58,62,Male,95754,8,Clothing,339.66,2022-05-30,66,Philadelphia,Credit Card,True,26,251.35,88.31000000000003,375,62,7874.39,293.87
